Timestamp,Student_ID,Activity,Confidence
2025-10-16 00:00:00,8,Studying/Attentive,0.6336536407470703
2025-10-16 00:00:00,9,Studying/Attentive,0.6187883615493774
2025-10-16 00:00:00,10,Studying/Attentive,0.5033153891563416
2025-10-16 00:00:00,17,Sleeping,0.3182613253593445
2025-10-16 00:00:00,18,Studying/Attentive,0.28351303935050964
2025-10-16 00:00:00,20,Studying/Attentive,0.266460120677948
2025-10-16 00:00:00,1,Studying/Attentive,0.8928369879722595
2025-10-16 00:00:00,2,Studying/Attentive,0.8815136551856995
2025-10-16 00:00:00,4,Studying/Attentive,0.8185943961143494
2025-10-16 00:00:00,5,Studying/Attentive,0.707116961479187
2025-10-16 00:00:00,6,Studying/Attentive,0.70647132396698
2025-10-16 00:00:00,7,Studying/Attentive,0.6504309177398682
2025-10-16 00:00:00,8,Studying/Attentive,0.646074652671814
2025-10-16 00:00:00,9,Studying/Attentive,0.6326039433479309
2025-10-16 00:00:00,10,Studying/Attentive,0.5410528182983398
2025-10-16 00:00:00,14,Studying/Attentive,0.4299502372741699
2025-10-16 00:00:00,1,Studying/Attentive,0.8905668258666992
2025-10-16 00:00:00,2,Studying/Attentive,0.8815799355506897
2025-10-16 00:00:00,3,Studying/Attentive,0.8355138301849365
2025-10-16 00:00:00,5,Studying/Attentive,0.7950764894485474
2025-10-16 00:00:00,6,Studying/Attentive,0.7459328174591064
2025-10-16 00:00:00,7,Studying/Attentive,0.7042238712310791
2025-10-16 00:00:00,8,Studying/Attentive,0.6649580597877502
2025-10-16 00:00:00,10,Studying/Attentive,0.5879397392272949
2025-10-16 00:00:00,14,Studying/Attentive,0.4498576819896698
2025-10-16 00:00:00,1,Studying/Attentive,0.8902593851089478
2025-10-16 00:00:00,2,Studying/Attentive,0.8881149291992188
2025-10-16 00:00:00,4,Studying/Attentive,0.8339037299156189
2025-10-16 00:00:00,5,Studying/Attentive,0.7819238305091858
2025-10-16 00:00:00,6,Studying/Attentive,0.7153684496879578
2025-10-16 00:00:00,7,Studying/Attentive,0.7016636729240417
2025-10-16 00:00:00,8,Studying/Attentive,0.6741201877593994
2025-10-16 00:00:00,11,Studying/Attentive,0.520615816116333
2025-10-16 00:00:00,12,Studying/Attentive,0.46789172291755676
2025-10-16 00:00:00,16,Studying/Attentive,0.33258089423179626
2025-10-16 00:00:00,1,Studying/Attentive,0.8955888152122498
2025-10-16 00:00:00,2,Studying/Attentive,0.8807154893875122
2025-10-16 00:00:00,4,Studying/Attentive,0.8311101198196411
2025-10-16 00:00:00,5,Studying/Attentive,0.7730530500411987
2025-10-16 00:00:00,6,Studying/Attentive,0.759369432926178
2025-10-16 00:00:00,7,Studying/Attentive,0.7286956310272217
2025-10-16 00:00:00,8,Studying/Attentive,0.5715636610984802
2025-10-16 00:00:00,12,Studying/Attentive,0.45879340171813965
2025-10-16 00:00:00,16,Studying/Attentive,0.33662280440330505
2025-10-16 00:00:00,1,Studying/Attentive,0.8884198665618896
2025-10-16 00:00:00,2,Studying/Attentive,0.879386842250824
2025-10-16 00:00:00,4,Studying/Attentive,0.8286429643630981
2025-10-16 00:00:00,5,Studying/Attentive,0.7991805076599121
2025-10-16 00:00:00,6,Studying/Attentive,0.7427332997322083
2025-10-16 00:00:00,7,Studying/Attentive,0.723703145980835
2025-10-16 00:00:00,9,Studying/Attentive,0.5854016542434692
2025-10-16 00:00:00,10,Studying/Attentive,0.5150213241577148
2025-10-16 00:00:00,14,Studying/Attentive,0.43431785702705383
2025-10-16 00:00:00,15,Studying/Attentive,0.4151837229728699
2025-10-16 00:00:00,1,Studying/Attentive,0.8862226605415344
2025-10-16 00:00:00,2,Studying/Attentive,0.8786147832870483
2025-10-16 00:00:00,4,Studying/Attentive,0.8144447207450867
2025-10-16 00:00:00,5,Studying/Attentive,0.7580918669700623
2025-10-16 00:00:00,6,Studying/Attentive,0.7237844467163086
2025-10-16 00:00:00,7,Studying/Attentive,0.6853236556053162
2025-10-16 00:00:00,8,Studying/Attentive,0.6729124188423157
2025-10-16 00:00:00,12,Studying/Attentive,0.39791473746299744
2025-10-16 00:00:00,15,Studying/Attentive,0.3624848425388336
2025-10-16 00:00:00,17,Studying/Attentive,0.26937365531921387
2025-10-16 00:00:00,1,Studying/Attentive,0.8892684578895569
2025-10-16 00:00:00,2,Studying/Attentive,0.8694101572036743
2025-10-16 00:00:00,4,Studying/Attentive,0.8144258856773376
2025-10-16 00:00:00,5,Studying/Attentive,0.7513900399208069
2025-10-16 00:00:00,6,Studying/Attentive,0.7456534504890442
2025-10-16 00:00:00,7,Studying/Attentive,0.7043504118919373
2025-10-16 00:00:00,8,Studying/Attentive,0.6299828886985779
2025-10-16 00:00:00,12,Studying/Attentive,0.4055383503437042
2025-10-16 00:00:00,13,Studying/Attentive,0.37253251671791077
2025-10-16 00:00:00,15,Studying/Attentive,0.30971455574035645
2025-10-16 00:00:00,1,Studying/Attentive,0.8927531838417053
2025-10-16 00:00:00,2,Studying/Attentive,0.8794685006141663
2025-10-16 00:00:00,4,Studying/Attentive,0.8059653043746948
2025-10-16 00:00:00,5,Studying/Attentive,0.7657930850982666
2025-10-16 00:00:00,6,Studying/Attentive,0.7644618153572083
2025-10-16 00:00:00,7,Studying/Attentive,0.7247627973556519
2025-10-16 00:00:00,8,Studying/Attentive,0.6263864040374756
2025-10-16 00:00:00,9,Studying/Attentive,0.4874553978443146
2025-10-16 00:00:00,15,Studying/Attentive,0.2892311215400696
2025-10-16 00:00:00,16,Studying/Attentive,0.2724055349826813
2025-10-16 00:00:00,1,Studying/Attentive,0.8907853960990906
2025-10-16 00:00:00,2,Studying/Attentive,0.8768905997276306
2025-10-16 00:00:00,4,Studying/Attentive,0.8218433260917664
2025-10-16 00:00:00,5,Studying/Attentive,0.8015053868293762
2025-10-16 00:00:00,6,Studying/Attentive,0.7216116189956665
2025-10-16 00:00:00,7,Studying/Attentive,0.653103232383728
2025-10-16 00:00:00,8,Studying/Attentive,0.53520667552948
2025-10-16 00:00:00,12,Studying/Attentive,0.32791465520858765
2025-10-16 00:00:00,16,Studying/Attentive,0.28769198060035706
2025-10-16 00:00:00,18,Studying/Attentive,0.251627117395401
2025-10-16 00:00:00,1,Studying/Attentive,0.8894174098968506
2025-10-16 00:00:00,2,Studying/Attentive,0.8756965398788452
2025-10-16 00:00:00,4,Studying/Attentive,0.8188262581825256
2025-10-16 00:00:00,5,Studying/Attentive,0.8023409843444824
2025-10-16 00:00:00,6,Studying/Attentive,0.7401455044746399
2025-10-16 00:00:00,7,Studying/Attentive,0.6864858269691467
2025-10-16 00:00:00,11,Studying/Attentive,0.44957131147384644
2025-10-16 00:00:00,15,Studying/Attentive,0.2583697736263275
2025-10-16 00:00:00,1,Studying/Attentive,0.8883529901504517
2025-10-16 00:00:00,2,Studying/Attentive,0.8827381730079651
2025-10-16 00:00:00,3,Studying/Attentive,0.8355921506881714
2025-10-16 00:00:00,5,Studying/Attentive,0.8044557571411133
2025-10-16 00:00:00,6,Studying/Attentive,0.7275636196136475
2025-10-16 00:00:00,7,Studying/Attentive,0.6285252571105957
2025-10-16 00:00:00,8,Studying/Attentive,0.5702359080314636
2025-10-16 00:00:00,14,Studying/Attentive,0.26613181829452515
2025-10-16 00:00:00,1,Studying/Attentive,0.8874709606170654
2025-10-16 00:00:00,2,Studying/Attentive,0.881208598613739
2025-10-16 00:00:00,4,Studying/Attentive,0.8332565426826477
2025-10-16 00:00:00,5,Studying/Attentive,0.8005377650260925
2025-10-16 00:00:00,6,Studying/Attentive,0.730549156665802
2025-10-16 00:00:00,7,Studying/Attentive,0.569544792175293
2025-10-16 00:00:00,8,Studying/Attentive,0.5531913042068481
2025-10-16 00:00:00,15,Studying/Attentive,0.2832985520362854
2025-10-16 00:00:00,16,Studying/Attentive,0.2788764536380768
2025-10-16 00:00:00,17,Studying/Attentive,0.26750922203063965
2025-10-16 00:00:00,18,Studying/Attentive,0.25898316502571106
2025-10-16 00:00:00,19,Sleeping,0.2513342499732971
2025-10-16 00:00:00,1,Studying/Attentive,0.8860630393028259
2025-10-16 00:00:00,2,Talking in Class,0.8802801966667175
2025-10-16 00:00:00,4,Studying/Attentive,0.8261973261833191
2025-10-16 00:00:00,5,Studying/Attentive,0.8243530988693237
2025-10-16 00:00:00,6,Studying/Attentive,0.726409912109375
2025-10-16 00:00:00,7,Studying/Attentive,0.6660982966423035
2025-10-16 00:00:00,10,Studying/Attentive,0.4625847339630127
2025-10-16 00:00:00,15,Studying/Attentive,0.36893048882484436
2025-10-16 00:00:00,16,Studying/Attentive,0.268080472946167
2025-10-16 00:00:00,1,Studying/Attentive,0.8920568227767944
2025-10-16 00:00:00,2,Studying/Attentive,0.8831274509429932
